tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,_gold_intent
1,cust_21395,True,Fri Mar 01 00:07:00 +0000 2024,"Hi, can you tell me where order #126855092 is? Placed it last week.",2,,order_status
2,AmazonHelp,False,Fri Mar 01 01:21:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #249827706 and zip code so we can pull up tracking. ^AB,,1,order_status
3,cust_83563,True,Fri Mar 01 00:21:00 +0000 2024,"Just checking in on order #134126396, when will it ship?",4,,order_status
4,AmazonHelp,False,Fri Mar 01 00:29:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #349817734 and zip code so we can pull up tracking. ^AB,,3,order_status
5,cust_30926,True,Fri Mar 01 00:35:00 +0000 2024,@AmazonHelp any update on order #868820204? Tracking hasn't moved in 3 days.,6,,order_status
6,AmazonHelp,False,Fri Mar 01 00:40:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #582334538 and zip code so we can pull up tracking. ^AB,,5,order_status
7,cust_59797,True,Fri Mar 01 00:49:00 +0000 2024,"Just checking in on order #465341213, when will it ship?",8,,order_status
8,AmazonHelp,False,Fri Mar 01 01:05:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #919795579 and zip code so we can pull up tracking. ^AB,,7,order_status
9,cust_80284,True,Fri Mar 01 01:03:00 +0000 2024,"Hi, can you tell me where order #485451171 is? Placed it last week.",10,,order_status
10,AmazonHelp,False,Fri Mar 01 02:06:00 +0000 2024,Thanks for reaching out! Could you send us the order number #966647391 via DM so we can check the latest tracking status? ^KT,,9,order_status
11,cust_35203,True,Fri Mar 01 01:17:00 +0000 2024,"Hi, can you tell me where order #506448196 is? Placed it last week.",12,,order_status
12,AmazonHelp,False,Fri Mar 01 02:35:00 +0000 2024,Thanks for reaching out! Could you send us the order number #990566476 via DM so we can check the latest tracking status? ^KT,,11,order_status
13,cust_46434,True,Fri Mar 01 01:31:00 +0000 2024,"Hi, can you tell me where order #149203558 is? Placed it last week.",14,,order_status
14,AmazonHelp,False,Fri Mar 01 02:24:00 +0000 2024,Thanks for reaching out! Could you send us the order number #185675980 via DM so we can check the latest tracking status? ^KT,,13,order_status
15,cust_99593,True,Fri Mar 01 01:45:00 +0000 2024,"Just checking in on order #782560971, when will it ship?",16,,order_status
16,AmazonHelp,False,Fri Mar 01 02:24:00 +0000 2024,Thanks for reaching out! Could you send us the order number #481469012 via DM so we can check the latest tracking status? ^KT,,15,order_status
17,cust_45382,True,Fri Mar 01 01:59:00 +0000 2024,"Hi, can you tell me where order #754049436 is? Placed it last week.",18,,order_status
18,AmazonHelp,False,Fri Mar 01 02:52:00 +0000 2024,We hear you! Send us a DM with order #362863730 and we'll get you the most current tracking update. ^DM,,17,order_status
19,cust_62581,True,Fri Mar 01 02:13:00 +0000 2024,@AmazonHelp any update on order #835098955? Tracking hasn't moved in 3 days.,20,,order_status
20,AmazonHelp,False,Fri Mar 01 02:58:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #345938494 and zip code so we can pull up tracking. ^AB,,19,order_status
21,cust_61856,True,Fri Mar 01 02:27:00 +0000 2024,Where's my package for order #171069472? No tracking info showing up.,22,,order_status
22,AmazonHelp,False,Fri Mar 01 03:35:00 +0000 2024,We hear you! Send us a DM with order #437882805 and we'll get you the most current tracking update. ^DM,,21,order_status
23,cust_86622,True,Fri Mar 01 02:41:00 +0000 2024,"Just checking in on order #253407200, when will it ship?",24,,order_status
24,AmazonHelp,False,Fri Mar 01 03:19:00 +0000 2024,Hi there! Let's take a look. Please DM us your order number #899925830 and zip code so we can pull up tracking. ^AB,,23,order_status
