grounding,correctness,tone,actionability,notes,tweet_id,judge_mode
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",1055382,real
1.0,1.0,2.0,1.0,Reply lacks specific guidance and brand style.,2686766,real
3.0,5.0,5.0,5.0,Missing user handle and signature tag reduces grounding.,439685,real
2.0,2.0,2.0,2.0,Draft does not reflect brand style or address the specific request for additional baskets.,1037188,real
3.0,5.0,4.0,5.0,Grounding slightly off due to added phishing mention not seen in brand example.,1145917,real
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",2895867,real
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",1601588,real
4.0,3.0,5.0,4.0,Reply aligns with brand style but does not explicitly address the customer’s request for a call.,1026076,real
2.0,3.0,2.0,4.0,"Lacks brand tone and empathy, but provides actionable link.",284007,real
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",108132,real
1.0,1.0,3.0,1.0,"Reply lacks brand style, contact link, and clear next steps.",438703,real
4.0,3.0,5.0,5.0,"Good empathy, but does not directly address responsibility question.",2827675,real
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",671643,real
,,,,"judge call failed: Error code: 400 - {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",2429493,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199865, Requested 859. Please try again in 5m12.768s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2132825,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199865, Requested 754. Please try again in 4m27.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2535365,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199864, Requested 724. Please try again in 4m14.016s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1691958,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199864, Requested 830. Please try again in 4m59.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2927085,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199864, Requested 738. Please try again in 4m20.064s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1201299,real
