tweet_id,text,draft_reply,grounding,correctness,tone,actionability
77523,@115850 I realise you and your executive not helpful for concern what I do? Please refund.i don't want product.,,,,,
2895867,"@AmazonHelp 7) A package goes missing in less than 24 hours!? Where'd last night's delivery person put it?
8) They resend part 1 of the package, part 2 I don't get an answer
9) Part 2 after four attempts I get a response, I cancel it, not worth the $1 savings for recurring item 3/?",,,,,
108132,@AmazonHelp But I thought Prime membership meant next day?,,,,,
2540272,"Hey @AmazonHelp, surprise, surprise yet another shipment is delayed. Makes SIX orders in a row. What’s the point in paying for prime??? Look into this. And don’t blame UPS/USPS again. This is on you. Start crediting my account or something. This is ridiculous.",,,,,
1601588,@AmazonHelp That won't make it deliver it to my  alternate address will DM u that..,,,,,
63888,"@AmazonHelp I just got an email saying delayed. 
The new 'order status' screen is worse than useless.",,,,,
284007,@AmazonHelp “Parcel will be held for 48 hours waiting for instructions”. How can I instruct if I can’t contact the carrier?!,,,,,
438703,"@AmazonHelp It happens with almost every order I have now. My building code is in my address, I shouldn't have to do anything else to get my orders on time.",,,,,
1201299,@AmazonHelp How long does a package from AmazonUS take (via Global Store)  to reach UK? My package was meant to arrive on the 18th Oct.,,,,,
671643,@115821 - your support chat says there is no way to purchase kindle books from mobile?! What???!! I use mobile 95% of time I travel extensively I want to buy kindle books I can’t. PLEASE FIX THIS HUGE OVERSIGHT!!! you are losing real customer dollars when will this be fixed?????,,,,,
453232,@115821 thought you'd like to know that @118706 told me the reason I don't have my package yet is because #cybermonday overwhelmed them.  But the went ahead and marked as delivered.  I guess to keep you happy.,,,,,
2379859,"@115821 Lightening speed of services.Keep it up, https://t.co/0fJloQdpv3 make customers happy.😃😁",,,,,
2535365,@AmazonHelp Learned my delivery promised for today did not deliver and you signed me up for some remote UPS dump off service that I neither authorized nor requested (fraud?). My package did not arrive on the date promised. Long phone call w/Amazon+UPS; no resolution yet.,,,,,
1368964,"@AmazonHelp 4 hours later I got this.
Why wasn’t I allowed to cancel? https://t.co/GKy0M4xXR3",,,,,
2927085,Shout out to @115821,,,,,
519696,"@AmazonHelp LOL!! You sent me a link to log into my account which I can't do because IT'S LOCKED!! Are you serious? 

I've already called and was told there was nothing you could do. I can call again though to hear that again. It was really fun the first time.",,,,,
2429493,@AmazonHelp do you price match? I saw the same tv I wanted to buy at Walmart online. It was almost $50 more at amazon,,,,,
1145917,"@AmazonHelp hi, I just got this email, but I am not a prime member? Is it legit or a virus?? https://t.co/S5wEYy204p",,,,,
2935879,@115830 I believed in you till today but the moment you debited my credit card account without my permission I have lost trust in you #fraud #AmazonPrime,,,,,
2132825,@AmazonHelp I’m really not impressed at all. When I purchased this item it stated that they were in stock so what is the delay?,,,,,
937317,@AmazonHelp Hasn’t been updated since 10/19 and was due for 10/20 delivery. Last scan was at the USPS.,,,,,
2827675,"@AmazonHelp @787586 Who will take responsibility of this kind of blunder???
It seems lots of sentiment involved at the time of ordering as it was for very special occasion",,,,,
1691958,"@AmazonHelp Yes, I have been charged but they can’t give me a delivery or dispatch date so I can make arrangements. I’m getting mugged off",,,,,
2686766,@AmazonHelp Thank you. I'm on the phone now to one of your staff. He is trying to locate my important birthday order.,,,,,
1037188,"Hey @115830, please could my fiancée have the other nine baskets? https://t.co/6Xf9cJAuUv",,,,,
1569584,@115821 @115850 @AmazonHelp @115851 And still I did not get my refund. Filed complaint with RBI. Next will be consumer forum.,,,,,
1055382,"@115830 So I pre-order a game over a month ago. To guarantee I received it on release day. ""Due to arrive by 8pm"" still at mailing center",,,,,
1026076,"@AmazonHelp Cutiya company he Amazon

Not good answer

Call kar baiyla",,,,,
439685,@AmazonHelp No such link is shared.,,,,,
795223,"@AmazonHelp

I ordered a product from yourselves &amp; it still hasn't arrived as it was meant to come the next day. I contacted the seller",,,,,
